Question,Equation,Answer,Numbers
"N_00 audio cassettes and N_01 video cassettes cost rs N_02 , while N_03 audio cassettes and N_04 video cassettes cost rs N_05 . Find the cost of an audio cassette and a video cassette.",N_00 * v0 + N_01 * v1 = N_02 <BRG> N_03 * v0 + N_04 * v1 = N_05,30.0 300.0,7.0 3.0 1110.0 5.0 4.0 1350.0
"Tickets cost N_00 dollars for students, and N_01 dollars for general admission. You sell N_02 tickets and collect N_03 dollars. How many student tickets did you sell, and how many general admission tickets did you sell?",N_00 * v0 + N_01 * v1 = N_03 <BRG> v0 + v1 = N_02,137.0 388.0,4.0 6.0 525.0 2876.0
N_00 is divided into two parts such that N_01 times the first part added to N_02 times the second part makes N_03 . Find each part.,N_01 * v0 + N_02 * v1 = N_03 <BRG> v0 + v1 = N_00,13.0 11.0,24.0 7.0 5.0 146.0
It takes a boat N_00 hours to travel N_01 miles down a river and N_02 hours to return upstream to its starting point. What is the rate of the current in the river?,N_00 * v0 + N_00 * v1 = N_01 <BRG> N_02 * v0 - N_02 * v1 = N_01,1.0 5.0,4.0 24.0 6.0
"N_02 teams of scientists leave a university at the same time in special vans to search for tornadoes. The N_00 st team travels east at N_01 miles per hour, and the N_02 nd team travels west at N_03 miles per hour. their radios have a range of N_04 miles. How much time will pass before the scientists lose radio contact?",N_01 * v0 + N_03 * v0 = N_04,2.5,1.0 20.0 2.0 30.0 125.0
"Two cars leave the same point, traveling in opposite directions. One travels at a constant speed of N_00 miles per hour, and the other travels at a constant speed of N_01 miles per hour. In how many hours will they be N_02 miles apart?",N_00 * v0 + N_01 * v0 = N_02,3.5,52.0 58.0 385.0
A N_00 -inch pipe is cut into two pieces. One piece is two times the length of the other. Find the lengths of the two pieces.,v0 + v1 = N_00 <BRG> v1 - 2.0 * v0 = 0.0,59.0 118.0,177.0
"To buy both a new car and a new house, Tina sought two loans totaling N_00 dollars. The simple interest rate on the first loan was N_01 , while the simple interest rate on the second loan was N_02 . At the end of the first year, Tina paid a combined interest payment of N_03 dollars. What were the amounts of the two loans?",0.01 * N_01* v0 + 0.01 * N_02 * v1 = N_00 <BRG> v1 + v0 = N_03,8698.95652 309639.04347,318.0 0.024 0.047 14.0
Mary can purchase roses and daisies from a flower shop. She can buy four roses and five daisies for N_00 dollars or two roses and six daisies for N_01 dollars. What is the individual cost for each rose and daisy?,4.0 * v0 + 5.0 * v1 = N_00 <BRG> 2.0 * v0 + 6.0 * v1 = N_01,1.35 0.5,7.9 5.7
"With a tailwind, a jet flew N_00 miles in N_01 hours. The jet's return trip against the same wind required N_02 hours. Find the jet's speed and the wind speed.",N_01 * v0 + N_01 * v1 = N_00 <BRG> N_02 * v0 - N_02 * v1 = N_00,450.0 50.0,2000.0 4.0 5.0
"A furniture dealer has N_00 tables. Some tables have N_03 legs, and some have N_01 legs, but she doesn't know how many of each kind there are. She has counted N_02 legs in total. How many N_03 legged tables are there?",N_03 * v0 + N_01 * v1 = N_02 <BRG> v0 + v1 = N_00,16.0 20.0,36.0 3.0 124.0 4.0
You are making N_00 tons of concrete that are N_01 cement by mixing a N_02 cement mixture with an N_03 cement mixture. How much of the N_03 cement mixture must you use? Answer in units of tons.,N_02 * v0 + N_03 * v1 = N_00 * N_01 <BRG> v0 + v1 = N_00,7.0 3.0,10.0 0.62 0.2 0.8
N_00 is divided into two parts such that N_01 times the first part added to N_02 times the second part makes N_03 . What is the first part?,N_01 * v0 + N_02 * v1 = N_03 <BRG> v0 + v1 = N_00,13.0 11.0,24.0 7.0 5.0 146.0
"At Al's Rent-a-Center, it costs N_00 dollars more per month to rent a leather couch than it does to rent a microfiber couch. Pauline rented a leather couch for N_01 months and then exchanged it for a microfiber couch, which she rented for N_02 months. She paid a total of N_03 dollars to rent these couches. Solve this system of equations to find the monthly rental charge for the leather couch in dollars. Find the monthly rental charge for the microfiber couch.",N_01 * v0 + N_02 * v1 = N_03 <BRG> v0 - v1 = N_00,99.0 69.0,30.0 8.0 12.0 1620.0
The larger of two numbers is N_00 less than twice the smaller. The sum of the two numbers is N_01 . Find the two numbers.,2.0 * v0 - v1 = N_00 <BRG> v0 + v1 = N_01,31.0 39.0,23.0 70.0
"N_00 of Joe's income each month goes to taxes. If she pays N_01 dollars in taxes each month, what is her monthly income in dollars?",N_00 * v0 = N_01,2120.0,0.4 848.0
"A plane flying with a tailwind flew at a speed of N_00 miles per hour, relative to the ground. When flying against the tailwind, it flew at a speed of N_01 miles per hour. Find the speed of the tailwind.",v0 + v1 = N_00 <BRG> v0 - v1 = N_01,75.0 385.0,460.0 310.0
A student is pricing N_04 different picture packages. John's Photo World charges N_00 dollars per sheet and a one-time sitting fee of N_01 dollars. Sam's Picture Emporium charges N_02 dollars per sheet and a one-time sitting fee of N_03 dollars. For how many sheets of pictures do the N_04 companies charge the same amount?,N_00 * v0 - N_02 * v0 = N_03 - N_01,12.0,2.75 125.0 1.5 140.0 2.0
"A baseball player has a batting average of N_00 with N_01 hits in N_02 bats. His average against left-handed pitching is N_03 . Against right-handed pitching, it is N_04 . How many times did he bat against left-handers?",N_04 * v0 + N_03 * v1 = N_01 <BRG> v0 + v1 = N_02,180.0 420.0,0.32 192.0 600.0 0.25 0.35
"Two mechanics worked on a car. The first mechanic charged N_00 dollars per hour, and the second mechanic charged N_01 dollars per hour. The mechanics worked for a combined total of N_02 hours, and together they charged a total of N_03 dollars. How long did the first mechanic and second mechanic work?",N_00 * v0 + N_01 * v1 = N_03 <BRG> v0 + v1 = N_02,15.0 5.0,45.0 85.0 20.0 1100.0
"Pedro goes to the market and buys a total of N_00 plums and peaches for N_01 dollars. A plum costs N_02 dollars, and a peach costs N_03 dollar. How many plums did Pedro buy?",N_03 * v0 + N_02 * v1 = N_01 <BRG> v0 + v1 = N_00,20.0 12.0,32.0 52.0 2.0 1.0
"For a special event at the TCR spring fest, the cost of N_00 adult tickets and N_02 student tickets was N_01 dollars, and the cost of N_02 adult tickets and N_03 student tickets was N_04 dollars. Find the admission price for an adult ticket and for a student ticket at the spring fest in dollars.",N_00 * v0 + N_02 * v1 = N_01 <BRG> N_02 * v0 + N_03 * v1 = N_04,8.0 15.0,3.0 84.0 4.0 2.0 62.0
